2020-10-15 07:37:58,621 238 article, ID: 107759 took 4.383118152618408
2020-10-15 07:38:23,803 239 article, ID: 108297 took 25.18186092376709
2020-10-15 07:38:26,260 240 article, ID: 108868 took 2.4571802616119385
2020-10-15 07:38:35,385 241 article, ID: 109305 took 9.12449026107788
2020-10-15 07:38:50,277 242 article, ID: 109435 took 14.89192509651184
2020-10-15 07:39:15,551 243 article, ID: 109495 took 25.273329734802246
2020-10-15 07:40:22,316 244 article, ID: 111361 took 66.76552939414978
2020-10-15 07:40:29,862 245 article, ID: 112016 took 7.545350551605225
2020-10-15 07:40:32,199 246 article, ID: 112355 took 2.3371543884277344
2020-10-15 07:40:33,333 247 article, ID: 115785 took 1.1336960792541504
2020-10-15 07:41:09,347 248 article, ID: 115823 took 36.01399326324463
2020-10-15 07:41:27,534 249 article, ID: 117541 took 18.186222076416016
2020-10-15 07:41:53,753 250 article, ID: 117914 took 26.21942901611328
2020-10-15 07:42:08,616 251 article, ID: 118110 took 14.862490177154541
2020-10-15 07:42:28,882 252 article, ID: 118382 took 20.26567268371582
2020-10-15 07:42:37,980 253 article, ID: 118779 took 9.097883462905884
2020-10-15 07:42:53,965 254 article, ID: 118801 took 15.98475980758667
2020-10-15 07:43:21,884 255 article, ID: 118914 took 27.91907000541687
2020-10-15 07:43:30,560 256 article, ID: 119040 took 8.676154613494873
2020-10-15 07:43:42,619 257 article, ID: 119313 took 12.058785676956177
2020-10-15 07:43:50,728 258 article, ID: 119406 took 8.108388662338257
2020-10-15 07:44:05,078 259 article, ID: 119595 took 14.350498676300049
2020-10-15 07:44:05,818 260 article, ID: 121242 took 0.7391643524169922
2020-10-15 07:44:06,732 261 article, ID: 121273 took 0.9139230251312256
2020-10-15 07:44:16,407 262 article, ID: 121432 took 9.674774408340454
2020-10-15 07:44:33,002 263 article, ID: 122052 took 16.595285177230835
2020-10-15 07:44:33,987 264 article, ID: 123581 took 0.9850277900695801
2020-10-15 07:44:43,486 265 article, ID: 123739 took 9.498256921768188
2020-10-15 07:44:57,670 266 article, ID: 124526 took 14.184313535690308
2020-10-15 07:45:10,035 267 article, ID: 124611 took 12.364577054977417
2020-10-15 07:45:37,302 268 article, ID: 125050 took 27.266334533691406
2020-10-15 07:45:58,567 269 article, ID: 125244 took 21.265255451202393
2020-10-15 07:46:30,338 270 article, ID: 125331 took 31.770353317260742
2020-10-15 07:46:51,157 271 article, ID: 126298 took 20.819697856903076
2020-10-15 07:47:04,163 272 article, ID: 126934 took 13.005595684051514
2020-10-15 07:47:05,581 273 article, ID: 127093 took 1.417529821395874
2020-10-15 07:47:11,417 274 article, ID: 127139 took 5.835888147354126
2020-10-15 07:47:12,209 275 article, ID: 127490 took 0.7921452522277832
2020-10-15 07:47:14,633 276 article, ID: 127623 took 2.4230568408966064
